title,productDesc,sellerID,price
Lighter - Bbq,Pituitary biopsy NOS,A41,63.46
Wasabi Paste,Ocular thermography,A41,17.54
Mahi Mahi,Repair eyeball rupture,A38,76.72
Beer - Labatt Blue,Parathyroid reimplant,A01,94.97
Coffee - French Vanilla Frothy,Amputat through malleoli,A13,37.26
Hinge W Undercut,Partial shoulder replace,A44,32.05
Beans - Wax,Esophageal repair NEC,A30,49.39
Cloves - Ground,Thor abltn lung les/tiss,A21,11.8
Soup - Base Broth Chix,Divis glossopharyng nerv,A41,2.89
Wine - Hardys Bankside Shiraz,Rad electrocoag-rect les,A19,92.65
Wheat - Soft Kernal Of Wheat,Part gastrec w jej anast,A29,78.13
Sauce - Alfredo,Closed gastric biopsy,A20,79.09
Syrup - Pancake,Abdominal wall sinogram,A01,80.66
Sugar - Splenda Sweetener,Oth larynx dx procedure,A40,65.1
Carbonated Water - Peach,Testicular operation NEC,A36,13.38
Mussels - Frozen,Closed testicular biopsy,A49,25.12
Wine - Savigny - Les - Beaune,Other perfusion,A10,74.63
"Beef - Rouladin, Sliced",Lam keratplast w autgrft,A26,46.76
Bread - Rye,Oth rep int cervical os,A34,68.79
Compound - Passion Fruit,Puncture of lung,A48,33.49
Energy Drink - Franks Pineapple,Closure uterine fistula,A48,6.33
Wine - Chardonnay South,Rad node dissection NEC,A01,23.03
"Salt - Rock, Course",Retinal tear cryotherapy,A08,24.52
Flour - All Purpose,Bact smear-lymph system,A49,33.3
Cheese Cloth No 100,Perc robotic assist proc,A34,6.99
Rice Paper,Sm bowel-abd wall fixat,A31,93.52
Vegetable - Base,Rotation tests,A13,13.76
Ecolab - Hobart Upr Prewash Arm,Int fixation-metacar/car,A21,68.99
Wine - Magnotta - Bel Paese White,Urethral sphincter emg,A36,73.27
Ezy Change Mophandle,Adrenal nerve division,A38,27.7
Bandage - Fexible 1x3,Inject tendon of hand,A19,7.43
Bread Base - Gold Formel,Sialoadenectomy NOS,A26,6.29
"Lettuce - Mini Greens, Whole",Tot breech extrac NEC,A41,32.85
Flour - Semolina,Excise lg intestine les,A13,75.41
Water - Tonic,Abltn liver les/tiss NEC,A22,74.09
Lettuce - Green Leaf,Radical prostatectomy,A40,79.24
Soap - Hand Soap,Ureth/periureth op NEC,A32,61.23
Cheese - Ermite Bleu,Excis les tendon sheath,A31,93.2
Creme De Menthe Green,Laparoscopic liver bx,A01,34.45
Chocolate - Feathers,Diathermy,A01,6.51
Soup - Tomato Mush. Florentine,Gastric gavage,A08,77.23
Bagels Poppyseed,Close red-int fix toe fx,A32,70.57
Wine - Cousino Macul Antiguas,Vessel operation NEC,A17,2.67
"Star Anise, Whole",Oth dx proced-patella,A49,51.51
Bread - Burger,Reduction torsion testes,A43,87.79
Banana - Leaves,"Resrf hip,total-acet/fem",A13,3.1
"Mushroom - Morels, Dry",Thorac esophag anast NEC,A38,47.32
Wine - Chianti Classico Riserva,Endosc sphincterotomy,A50,51.34
Cabbage - Nappa,Application of splint,A36,61.13
Oil - Shortening - All - Purpose,Corneal operation NEC,A34,22.42
Buffalo - Striploin,Aorta-iliac-femor bypass,A20,58.84
Dc - Frozen Momji,"TRAM flap, pedicled",A26,67.65
"Tuna - Canned, Flaked, Light",Laparotomy NEC,A32,76.56
Onions - Cooking,Pyloromyotomy,A01,22.51
Wine - Montecillo Rioja Crianza,Perc angio intracran ves,A19,41.24
Soup - French Onion,Arth/pros rem wo rep-hnd,A43,66.07
Flour - So Mix Cake White,Heart aneurysm excision,A36,92.08
"Crab - Claws, 26 - 30",Dressing of wound NEC,A31,33.86
"Juice - Orange, Concentrate",Ligation esoph varix,A22,86.71
Grand Marnier,Replace vag/vulv packing,A19,99.15
Green Scrubbie Pad H.duty,Cranial osteoplasty NEC,A31,86.31
"Appetizer - Mini Egg Roll, Shrimp",Adductor tenotomy of hip,A41,89.08
Hipnotiq Liquor,Simple suture of dura,A31,65.88
Beef - Ox Tongue,Thoracospc pneumonectomy,A32,21.9
Cheese - Ermite Bleu,Open osteoplas mand rami,A01,25.55
Mince Meat - Filling,Opn bi dr/in ing hrn NEC,A40,64.78
Loquat,Unilat breast implant,A36,51.98
Glaze - Apricot,Contr phlebogram-pulmon,A08,66.8
Everfresh Products,Cran nerv root decom NEC,A32,86.98
Wine - Penfolds Koonuga Hill,Prosthetic evaluation,A48,12.55
Pasta - Agnolotti - Butternut,Metatar/tar wedg osteot,A13,29.96
Oxtail - Cut,Other orthodontic operat,A36,73.62
Cleaner - Pine Sol,Remov other urin device,A21,86.66
Muffin Mix - Banana Nut,Hepatic injection NEC,A49,9.95
Tray - 16in Rnd Blk,Bony palate biopsy,A19,73.51
Apple - Custard,Frontal sinusectomy,A48,51.17
Chicken - Bones,Coag factor transfusion,A49,93.31
Basil - Fresh,Abdperneal res rectm NOS,A15,99.38
Otomegusa Dashi Konbu,Fallopian tube insufflat,A41,21.74
Prunes - Pitted,Pedicle attach to mouth,A30,63.84
Rice - Brown,Oth cerv fusion ant/ant,A11,53.57
Bread - Flat Bread,Meninge vessel ligation,A17,3.36
Cream - 18%,Comb heart/lung transpla,A29,13.46
Longos - Grilled Veg Sandwiches,Transjugular liver bx,A37,47.21
Pastry - Apple Muffins - Mini,Diather/cryo turbinectom,A31,73.89
Nantucket Orange Juice,Clos endosc ureteral bx,A11,45.7
"Seedlings - Buckwheat, Organic",Retinal tear xenon coag,A20,33.49
Clams - Bay,Bile duct anastomos NEC,A10,55.49
Chocolate - Sugar Free Semi Choc,Open fx reduction NEC,A44,45.28
Sauce - Hollandaise,C & s-female genital,A29,33.83
Island Oasis - Banana Daiquiri,Cell blk/pap-female gen,A26,39.77
Jolt Cola - Red Eye,Excise int mammary node,A31,6.37
Cornish Hen,Micro exam-periton NEC,A34,63.39
Higashimaru Usukuchi Soy,Opn bx larynx or trachea,A20,83.76
Olives - Stuffed,Systemic-pulm art shunt,A31,46.04
Apricots - Halves,"Int insert 1-cham, non",A29,46.65
Tomatoes - Orange,Other tenonectomy,A44,33.85
Turnip - Wax,Dx aspirat-ant chamber,A48,54.28
Sausage - Blood Pudding,Repair facial weakness,A32,12.21
Tandoori Curry Paste,Closed brain biopsy,A26,93.58
Beans - French,Oth lo vision aid dispen,A26,50.5
Mix - Cappucino Cocktail,Micro exam NOS,A01,58.21
Pasta - Agnolotti - Butternut,Inject rh immune globul,A44,20.37
Duck - Legs,Respiratory measure NEC,A13,6.47
"Wine - Red, Cabernet Sauvignon","Hip surface, metal/metal",A19,95.25
Pails With Lids,Rad node dissection NOS,A41,86.68
Bread - Triangle White,Epididymovasostomy,A20,50.56
Extract - Raspberry,Tonometry,A50,80.71
Butter Ripple - Phillips,Gracilis musc transplan,A08,17
Ice Cream - Vanilla,Suture entropion repair,A48,81.61
Macaroons - Homestyle Two Bit,Rectal resection NEC,A01,8.93
Table Cloth 54x72 White,Testicular les destruct,A49,52.87
Pastry - Banana Muffin - Mini,Facial bone biopsy,A50,14.95
Coconut Milk - Unsweetened,Excision of hydrocele,A43,60.87
Tequila Rose Cream Liquor,Periph nerve inject NOS,A36,62.92
"Orange - Canned, Mandarin",Epiglottidectomy,A40,80.42
"Vermacelli - Sprinkles, Assorted",Antitoxin administra NEC,A11,94.83
Tequila Rose Cream Liquor,Endosc retro pancreatog,A11,69.14
"Oil - Food, Lacquer Spray",Conjunctival op NEC,A13,80.6
Bread - Burger,Endosc dil pancreat duct,A08,41.89
Grapes - Red,Resect abdm aorta w repl,A10,25.09
Cheese - Cheddarsliced,Lap gastroenterostomy,A32,53.64
"Beef - Bones, Cut - Up",Alcoholism counselling,A32,99.81
Mountain Dew,Digital exam of uterus,A26,48.64
Devonshire Cream,Freeing of vessel,A08,1.57
Wine - Delicato Merlot,Cell block/pap-eye,A49,87.4
Salt And Pepper Mix - White,Iridoplasty NEC,A48,84.98
Broom Handle,Excision of ankle NEC,A37,44.31
Star Fruit,Lg bowel segment isolat,A20,96.48
Bread - White Epi Baguette,Arthrodesis NOS,A17,22.46
"Lemonade - Mandarin, 591 Ml",Release of chordee,A49,74.91
Bread - Sour Sticks With Onion,Bunionectomy NEC,A11,36.92
Blouse / Shirt / Sweater,Facial bone dx proc NEC,A40,75.43
"Lemonade - Strawberry, 591 Ml",Opn reduc disloc-ft/toe,A37,72.54
Bagelers - Cinn / Brown,Partial sialoadenectomy,A22,2.1
Breakfast Quesadillas,Activ musculosk exer NEC,A30,45.59
Food Colouring - Pink,Tendon advancement,A50,7.32
Bread - English Muffin,Impedance phlebogram,A19,55.99
"Juice - Grape, White",Other glossotomy,A17,11.23
"Schnappes - Peach, Walkers",Vascular cath irrigation,A20,61.36
Olives - Kalamata,Ing hernia rep-graft NOS,A44,35.91
Lettuce - Curly Endive,Thorac seg lung resect,A38,61.29
"Salmon - Smoked, Sliced",Thyroid reimplantation,A32,71.18
Wine - Duboeuf Beaujolais,Wide excision of lip les,A36,34.73
"Arctic Char - Fresh, Whole",Drain appendiceal absc,A10,42.78
Bar Mix - Lemon,Suture gastric lacerat,A08,36.68
Table Cloth 62x114 White,Toxicology-op wound,A17,60.3
"Juice - Apple, 1.36l",Reattach amputated ear,A38,73.76
"Arctic Char - Fresh, Whole",Remov small bowel tube,A31,19.76
"Oil - Truffle, Black",Int fixation-metatar/tar,A01,82.51
Orange - Tangerine,Excis metatar/tar-graft,A31,86.63
Clementine,"Int insert 1-cham, rate",A40,31.04
Asparagus - Mexican,Lap hern ant abd-gft NEC,A20,43.93
Truffle Shells - White Chocolate,Nasal dx proc NEC,A36,31.67
Muffin Mix - Carrot,Abd region dx proc NEC,A32,77.49
Browning Caramel Glace,Dx proc mediastinum NEC,A41,22.63
Duck - Legs,Periton pneumogram NEC,A32,79.24
Bread - Corn Muffaletta,Choledochoenterostomy,A41,49.8
"Beans - Black Bean, Dry",Other appendectomy,A22,39.35
"Veal - Inside Round / Top, Lean",Insert bone stimul NEC,A40,10.09
Brandy Cherry - Mcguinness,Revis enuc socket w grft,A44,93.5
Truffle Cups Green,Gallbladder anastom NEC,A50,75.69
Parsley - Fresh,Periph nerve inject NEC,A01,91.15
Ecolab Crystal Fusion,Dorsal/lat slit prepuce,A26,54.34
Sugar - White Packet,Bilat endosc crush tube,A13,74.73
Tarts Assorted,Thoracic duct op NEC,A19,49.23
Oil - Olive,Remov other urin device,A49,1.49
Lettuce - Belgian Endive,Tonsil&adenoid dx op NEC,A41,99.34
Lettuce - Spring Mix,Loc excis esoph divertic,A41,87.3
"Jam - Strawberry, 20 Ml Jar",Humerus division NEC,A38,71.35
Cookie Dough - Chunky,Int fixation-metatar/tar,A08,62.44
Lemon Balm - Fresh,Tot repair tetral fallot,A36,72.44
Nantucket Pine Orangebanana,Creat peritoneovas shunt,A17,55.66
Apricots - Halves,Lid reconstr w graft NEC,A21,36.79
Crush - Cream Soda,Periren/uret dx proc NEC,A48,54.06
Cheese - Goat With Herbs,Other therapeutic ultsnd,A10,62.62
Towel Dispenser,Remov ext immobilization,A37,72.31
Corn Meal,Corneal scrape for smear,A31,9.19
Flower - Commercial Spider,Forcib correct defor NEC,A31,72.58
Pork Loin Cutlets,Other tendon transposit,A08,87.1
Cabbage - Savoy,Closed pulmon valvotomy,A15,52.34
Chocolate Bar - Reese Pieces,Contrast epididymogram,A30,45.91
Truffle Cups - White Paper,Esophagomyotomy,A11,43.03
"Wine - Red, Colio Cabernet",Remov small bowel tube,A44,97.78
Kumquat,Part thyroidectomy NEC,A26,62.74
Pears - Bosc,Incision uterine septum,A22,34.97
Garlic,Abdominal proctopexy,A17,54.57
Sun - Dried Tomatoes,Cholera vaccination,A41,77.74
Bread Cranberry Foccacia,Serum transfusion NEC,A43,99.96
Beer - Paulaner Hefeweisse,Opn mitral valvuloplasty,A29,39.95
Longos - Chicken Wings,Suture urethral lacerat,A43,87.03
Energy Drink - Franks Original,Repair of uvula,A31,88.5
Beef - Tenderloin - Aa,Intestinal x-ray NEC,A34,21.64
Turnip - Mini,Ileostomy NOS,A22,58.2
Ice Cream - Super Sandwich,Ex cereb meningeal les,A49,83.61
Dooleys Toffee,Transposit hand tend NEC,A34,14.99
"Chicken - Leg, Boneless",Allotrnsplnt islets lang,A17,9.16
Lemon Tarts,Open fx site debride NEC,A34,3.95
Soup Campbells - Tomato Bisque,Open pancreatic biopsy,A11,31.3
Snails - Large Canned,Elevate skull fx fragmnt,A15,38.59
"Beans - Black Bean, Canned",Hip synovectomy,A40,42.56
Sauce - Chili,Ob tamponade uterus/vag,A44,61.09
Chocolate - Mi - Amere Semi,Perianal biopsy,A48,65.46
Wine - Placido Pinot Grigo,Bone scan,A41,7.92
Mahi Mahi,Tu remov ureter obstruct,A29,81.55
Bread - Focaccia Quarter,Radius/ulna inj op NOS,A30,43.86
Milk - Skim,Cardiotomy,A20,46.57
Cheese - Sheep Milk,Imp/rep lead lf ven sys,A19,21.44
"Tortillas - Flour, 8",Large bowel incision,A31,60.6
Coffee - 10oz Cup 92961,Tot rep truncus arterios,A17,8.23
Beer - Corona,Excision acoustc neuroma,A21,64.25
"Mushroom - Oyster, Fresh",Upper limb lymphangiogrm,A48,53.13
Ostrich - Prime Cut,Implant chemothera agent,A50,18.36
"Turnip - White, Organic",Rev knee replacemt-total,A49,99.81
Chicken - Livers,Correction fetal defect,A22,33.81
Mustard - Individual Pkg,Trabeculotomy ab externo,A36,33.57
Longos - Assorted Sandwich,Open ureteral biopsy,A38,92.83
Cabbage - Nappa,Lap salpingo-oophoroplas,A36,66.1
Cornish Hen,Remove intralum ureth FB,A50,27.12
Bread Base - Italian,Revis enuc socket w grft,A11,38.76
Island Oasis - Raspberry,Close sm bowel fist NEC,A50,27.92
Potatoes - Peeled,Suture cord & epid lacer,A50,9.08
Lamb Rack Frenched Australian,Culture-female genital,A15,41.14
Alize Sunset,Catarac phacoemuls/aspir,A15,58.57
Guinea Fowl,Appl ext fix-tib/fibula,A10,99.98
Flour - Bread,Bile duct anastomos NEC,A15,89.31
Carroway Seed,Culture-endocrine,A11,3.41
Soup - Campbells Chili,Ultraviolet light therap,A08,80.88
Scallop - St. Jaques,Oth part ostectomy NOS,A08,57.16
"Wine - Saint - Bris 2002, Sauv",Anoscopy,A29,4.41
Pork - Suckling Pig,Heterograft to skin,A40,14.31
Grand Marnier,Excision of nipple,A11,83.41
"Stock - Chicken, White",Oth metac/carp rep/plast,A43,83.44
Oneshot Automatic Soap System,Annuloplasty,A26,76.87
Wine - Rioja Campo Viejo,Other isotope function,A17,39.08
"Iced Tea - Lemon, 460 Ml",Replac ves-to-ves cannul,A31,37.92
Steampan Lid,"Repl joint of foot, toe",A26,43.28
Pie Shell - 9,Sympathetic nerve op NEC,A32,9.66
Chip - Potato Dill Pickle,Amputation thru humerus,A50,57.5
Cod - Black Whole Fillet,Psychia commitment eval,A50,59.85
Watercress,Fus/refus 9 vertebrae,A19,35.39
Apple - Custard,Manual assist deliv NEC,A11,98.26
Egg Patty Fried,Bony palate biopsy,A36,11.98
Tea - Green,Leg artery resec w repla,A13,82.54
"Soup - Campbells, Spinach Crm",Anal biopsy,A31,65.29
"Veal - Inside, Choice",External ear biopsy,A48,9.94
Cod - Fillets,Closed adrenal gland bx,A10,83.12
Rice - Long Grain,Totl reconst breast NEC,A49,79.08
Hinge W Undercut,Endocar cushion rep NEC,A11,33.45
Beef - Inside Round,Subtalar fusion,A20,16.2
Kiwano,Cl fx reduc-finger,A22,73.71
Bread - Assorted Rolls,Oth remove remain ovary,A10,83.16
Coffee Beans - Chocolate,Toxicology-integument,A44,28.82
Red Pepper Paste,Tympanostomy tube remove,A17,52.89
Calypso - Strawberry Lemonade,Extracap lens extrac NEC,A11,89.85
Wine - Merlot Vina Carmen,Implant leg prosthesis,A11,95.72
Lettuce - Sea / Sea Asparagus,Insert antimicrobial env,A50,89.86
Wine - Chateau Bonnet,Amputation NOS,A41,46.79
"Wine - Saint - Bris 2002, Sauv",Debrid open fx-humerus,A15,90.59
Wine - Touraine Azay - Le - Rideau,Other muscle/fasc suture,A21,90.63
Wine - Saint Emilion Calvet,Urethral dilation,A17,4.29
Beans - Kidney White,Parasitology NOS,A19,8.72
Bay Leaf Fresh,Refusion of spine NEC,A30,96.06
Pear - Prickly,Tendon pulley reconstruc,A41,17.17
Spinach - Packaged,Cath drain-pancreat cyst,A43,39.26
Cheese - Brie Roitelet,Remov intralum nose FB,A43,14.37
Muffin - Mix - Strawberry Rhubarb,Blood expander transfus,A01,53.66
Wine - Saint Emilion Calvet,"Hip surface, metal/metal",A22,23.18
Icecream - Dstk Cml And Fdg,Stern esophagoesophagost,A38,53.79
Coffee - Decaffeinato Coffee,Bact smear-nervous syst,A26,41.4
"Loaf Pan - 2 Lb, Foil",Total exc pituitary NOS,A37,88
Salt - Seasoned,Ultraviolet light therap,A19,42.58
Bread - Multigrain,Oth heart revascular,A22,59.41
Arizona - Plum Green Tea,Truncal vagotomy,A48,61.25
Dawn Professionl Pot And Pan,Full-thick hand skin grf,A32,16.87
Mace Ground,Periren/ureteral biopsy,A41,15.65
Straws - Cocktale,Interruption vena cava,A41,24.97
"Sauce - Soya, Dark",Endomet synechiae divis,A34,18.59
"Wine - Red, Gallo, Merlot",Augment mammoplasty NOS,A32,37.87
"Oil - Shortening,liqud, Fry",Facial bone reconstr NEC,A26,70.43
Tea - Camomele,Adhesiolysis ovary/tube,A32,33.66
V8 Splash Strawberry Kiwi,Anal fistulectomy,A19,17.79
Grand Marnier,Vagin/cul-de-sac dx NEC,A01,29.2
Gelatine Powder,Other tenotomy,A31,39.81
Wine - Ruffino Chianti,Drug addict counselling,A08,55.4
Salmon Atl.whole 8 - 10 Lb,Psychiat mental determin,A31,33.76
Wine - Magnotta - Belpaese,Esophageal web incision,A30,37.31
Parasol Pick Stir Stick,Unilateral vulvectomy,A10,39.81
Skirt - 29 Foot,Vaginal suspens & fixat,A32,24.41
Pork - European Side Bacon,Suture bladder lacerat,A13,11.03
Sauce Bbq Smokey,Remove ocular implant,A11,3.6
Chinese Lemon Pork,Implant chemothera agent,A20,67.47
Pants Custom Dry Clean,Comprehensive consultat,A11,40.9
Pepper - Cayenne,Rem extratub ectop preg,A11,17.8
Steam Pan - Half Size Deep,Vaginal douche,A41,28.54
Toothpick Frilled,Part breech extract NEC,A50,94.24
"Cheese - Cheddar, Mild",Retinal tear repair NEC,A01,7.22
"Pepper - Red, Finger Hot",Incision of cervix,A10,38.55
"Hickory Smoke, Liquid",Bronchial ligation,A34,26.03
Pike - Frozen Fillet,Injct/inf immunoglobulin,A50,15.83
Cabbage - Red,Replantation of penis,A38,78.18
"Lemonade - Kiwi, 591 Ml",Amputation stump revis,A38,23.38
Beef - Kobe Striploin,Suture urethral lacerat,A08,99.06
Veal - Loin,Comb alcohol/drug rehab,A41,84.93
Muffin - Banana Nut Individual,Revise disc prost cerv,A21,85.27
Pastry - Trippleberry Muffin - Mini,Yellow fever vaccination,A01,15.37
Egg - Salad Premix,Open reduc-dislocat NEC,A08,46.64
Tomatoes - Heirloom,Extraoc musc-tend biopsy,A11,17.33
Wine - Sogrape Mateus Rose,Dilation of rectum,A48,67.23
Chickensplit Half,Low forceps w episiotomy,A17,25.04
Pork - Sausage Casing,Rem extratub ectop preg,A17,37.25
Tray - 16in Rnd Blk,Hand fasciectomy NEC,A08,98.01
"Lamb - Shoulder, Boneless",Cls reduc-sep epiphy NEC,A50,12.77
Lid - 0090 Clear,Sympathetic nerve biopsy,A32,49.01
Pants Custom Dry Clean,Fasciotomy,A20,41.07
Tamarillo,Remov biliary/liver tube,A32,24.65
Chickhen - Chicken Phyllo,Lengthen 1 extraoc musc,A43,81.69
Smirnoff Green Apple Twist,Decompression chamber,A37,52.76
Longos - Grilled Salmon With Bbq,Facial bone sequestrect,A49,48.23
Tuna - Salad Premix,Incisional hernia repair,A41,72.9
Vaccum Bag 10x13,Serum transfusion NEC,A48,78.92
Plastic Arrow Stir Stick,Insert biological graft,A22,58.14
Pepperoni Slices,Excise patella for graft,A44,93.3
"Nut - Pistachio, Shelled",Other part laryngectomy,A30,81.23
Flower - Commercial Spider,Nephrost/pyelost irrigat,A21,71.86
"Jam - Strawberry, 20 Ml Jar",Bilat endosc divis tube,A50,90.36
Potatoes - Fingerling 4 Oz,Fus/refus 2-3 vertebrae,A10,72.48
Bread - Kimel Stick Poly,Lap salpingo-oophoroplas,A15,30.14
Syrup - Monin - Blue Curacao,Transab proctosigmoidosc,A01,34.05
Mini - Vol Au Vents,Cystotomy & adhesiolysis,A37,66.53
"Pork - Chop, Frenched",Bone graft-radius/ulna,A38,44.83
Cheese - Augre Des Champs,Exploratory laparotomy,A29,73.88
V8 - Berry Blend,Thomas' splint traction,A31,34.94
Wine - Pinot Noir Mondavi Coastal,Leg artery resec w repla,A49,96.09
Wine - German Riesling,Insert antimicrobial env,A34,28.36
Syrup - Kahlua Chocolate,Clos reduct tm dislocat,A36,68.13
Coffee Caramel Biscotti,Ureteroneocystostomy,A36,36.59
Foil Wrap,Pneumoperit-lung collaps,A17,64.82
"Bread - White, Unsliced",Repair retina detach NEC,A31,59.89
Muffin - Banana Nut Individual,Gastric diagnos proc NEC,A26,93.79
Mix - Cocktail Strawberry Daiquiri,Repair rectovag fistula,A22,84.41
Papadam,Corneal transplant NOS,A32,67.04
Chips - Assorted,Tot exc pituit-transfron,A01,28.76
Juice - Prune,Trigeminal nerv division,A08,83.72
Apple - Fuji,Above knee amputation,A31,90.24
Bag Clear 10 Lb,Spine tract w skull dev,A36,82.08
Compound - Rum,Endo pulm arwy flow msmt,A19,79.28
"Quail - Eggs, Fresh",Close gastric fistul NEC,A11,98.26
Tuna - Bluefin,Other bronchoscopy,A08,7.09
Sugar - White Packet,Cranial puncture NEC,A32,50.7
Tofu - Firm,Rect/perirect dx op NEC,A40,66.4
Ice Cream - Vanilla,Percutan aspiration gb,A10,89.15
Energy Drink,Tot substern thyroidect,A49,75.35
Soup - Cream Of Broccoli,GI ostomy irrigation,A36,32.99
"Schnappes - Peach, Walkers",Limb length-metacar/car,A26,55.27
Veal - Heart,Remov intralum ear FB,A26,25.56
Island Oasis - Strawberry,Cervical les destruc NEC,A49,83.49
Cake - Lemon Chiffon,Cls red-tibia/fib epiphy,A19,98.45
Wine - Bouchard La Vignee Pinot,Radius/ulna wedg osteoto,A30,61.22
Pasta - Orecchiette,Facial bone reconstr NEC,A17,95.25
Plasticknivesblack,Shoulder arthroplast NEC,A31,44.04
Sultanas,Opn bil ind ing hern NEC,A50,97
"Pork - Bacon,back Peameal",Cell blk/pap-integument,A43,25.58
Milk 2% 500 Ml,Aquapheresis,A13,95.52
Halibut - Fletches,Gas hysterosalpingogram,A41,9.06
"Beef - Rib Roast, Capless",C & s-lower GI,A19,23.46
Strawberries,Urethrotomy,A41,27.17
"Water, Tap",Systemic-pulm art shunt,A10,44.23
"Wine - Niagara,vqa Reisling",Open liver biopsy,A11,9.51
Soup Campbells Turkey Veg.,Salpingo-oophorostomy,A26,61.79
Apple - Royal Gala,Dyslexia training,A49,56.9
Beef Striploin Aaa,Lap pull-thru res rectum,A15,13.78
Dried Apple,Clos red-int fix humerus,A22,84.96
Kippers - Smoked,Thymus transplantation,A49,77.82
Wiberg Super Cure,Nasal dx proc NEC,A50,45.83
Cookies - Englishbay Oatmeal,Stern lg bowel interpos,A30,40.68
"Soup - Campbells, Cream Of",Other local destruc skin,A15,49.78
Calvados - Boulard,Ins totl disc pros lumb,A01,28.63
Gatorade - Lemon Lime,Insert bone stim-patella,A43,44.14
Pork Loin Cutlets,Resistive exercise,A21,73.99
Beer - Original Organic Lager,Insert intestinal tube,A11,27.09
Wine - Chardonnay South,Closure of anal fistula,A50,48.85
Salmon Steak - Cohoe 8 Oz,Oth dx proc-tibia/fibula,A29,94.15
Beef - Salted,Clos transureth bladd bx,A34,20.37
Soup - Campbells - Tomato,Vessel resect/replac NOS,A37,76.27
Momiji Oroshi Chili Sauce,Peripheral nerve ops NEC,A22,36.94
Wine - Chateau Bonnet,Toxicology-bili/pancreas,A01,75.7
Bread Base - Gold Formel,Stereo radiosurgery NOS,A36,14.71
Dried Figs,Culdotomy,A34,16.74
Soup Bowl Clear 8oz92008,Insert colonic stent NEC,A22,47.23
"Tart Shells - Barquettes, Savory",Destruct larynx les NEC,A01,7.02
Cheese - Victor Et Berthold,Oth endo proc oth vessel,A43,42.74
"Soup - Knorr, Chicken Gumbo",Interruption vena cava,A22,61.67
Flour - Chickpea,Permanent colostomy,A21,84.84
